species	area	Amostra	Planta	diameter	c_folha	l_folha	c_raiz	MF	MR	Mriz	Msub	Mtot	RSRatio	SSRatio	Zn	Fe	Mn	Cu	B	fe_std	zn_std	mn_std	cu_std	b_std
crassifolia	1	5	1	6.36	3.175	0.4875	3.76	0.5325	0.0499	0.6956	0.7455	1.2780	0.09370892	1.4	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	2	5.24	2.895	0.365	2.645	0.3485	0.0811	0.5196	0.6007	0.9492	0.232711621	1.723672884	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	3	5.78	2.5225	0.4075	2.6975	0.2812	0.0418	0.8110	0.8528	1.1340	0.148648649	3.032716927	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	4	5.94	3.045	0.4525	3.3825	1.3400	0.0892	1.2057	1.2949	2.6349	0.066567164	0.966343284	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	5	7.28	4.1725	0.5075	2.6275	0.5325	0.1039	0.6129	0.7168	1.2493	0.195117371	1.346103286	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	6	7.08	3.3325	0.43	2.985	0.7099	0.0986	1.0318	1.1304	1.8403	0.138892802	1.592336949	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	7	4.98	2.92	0.3825	2.765	0.3699	0.0583	0.6280	0.6863	1.0562	0.157610165	1.855366315	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	8	6.37	3.52	0.4875	2.91	0.6781	0.1368	1.6573	1.7941	2.4722	0.201740156	2.645774959	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	9	5.09	2.9625	0.3775	3.16	0.4868	0.1359	0.7352	0.8711	1.3579	0.27917009	1.789441249	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	5	10	5.19	2.49	0.3325	2.4825	0.2187	0.0125	0.0461	0.0586	0.2773	0.057155921	0.267946959	0.16	38.44	0.26	0.04	0.04	0.20179025	0.589761092	0.65	0.124711316	0.525547445
crassifolia	1	6	1	5.51	2.96	0.4025	2.8575	0.5843	0.2375	0.5089	0.7464	1.3307	0.406469279	1.27742598	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	2	5.89	2.7525	0.4475	4.995	0.1846	0.1764	0.6715	0.9090	1.0936	1.286565547	4.924160347	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	3	4.32	2.3475	0.3175	3.425	0.2994	0.1010	0.1910	0.2920	0.5914	0.337341349	0.975283901	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	4	5.04	2.8725	0.3925	3.5225	0.4480	0.1677	0.2013	0.3690	0.8170	0.374330357	0.823660714	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	5	4.26	2.2125	0.37	7.135	0.5584	0.1286	0.5810	0.7096	1.2680	0.23030086	1.270773639	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	6	5.7	2.7075	0.3975	4.275	0.1928	0.1011	0.4478	0.5489	0.7417	0.524377593	2.846991701	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	7	4.05	2.0675	0.3	2.93	0.2831	0.1537	0.3285	0.4822	0.7653	0.542917697	1.703285058	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	8	4.57	2.575	0.4075	3.9275	0.1851	0.0845	0.2393	0.3238	0.5089	0.456509995	1.749324689	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	9	4.76	2.4625	0.3125	3.7925	0.4554	0.0787	0.3151	0.3938	0.8492	0.172815108	0.8647343	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	1	6	10	4.58	2.8725	0.3725	2.8025	0.5995	0.1110	0.5589	0.6699	1.2694	0.185154295	1.117431193	0.14	27.221	0.3	0.05	0.04	0.142896264	0.516040956	0.75	0.155889145	0.525547445
crassifolia	2	1	1	5.32	2.8425	0.52	3.815	0.4772	0.1645	0.6465	0.8110	1.2882	0.344719195	1.699497066	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	2	5.3	2.515	0.3425	4.0725	0.3613	0.0563	0.7450	0.8013	1.1626	0.155826183	2.217824523	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	3	4.76	2.5425	0.355	4.8775	0.1610	0.0560	0.6125	0.6685	0.8295	0.347826087	4.152173913	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	4	5.47	2.585	0.355	2.76	0.3002	0.0379	0.5048	0.5427	0.8429	0.126249167	1.807794803	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	5	4.74	2.5175	0.325	4.315	0.1843	0.0347	0.5350	0.5697	0.7540	0.188279978	3.091155724	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	6	7.87	4.31	0.5575	4.5425	1.0672	0.2279	1.4303	1.6582	2.7254	0.213549475	1.553785607	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	7	4.66	2.6675	0.3425	4.685	0.2772	0.0642	1.0170	1.0812	1.3584	0.231601732	3.9004329	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	8	6.42	3.2725	0.5175	4.36	0.5908	0.1104	0.7360	0.8464	1.4372	0.186865267	1.432633717	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	9	5.35	3.1075	0.4475	3.5525	0.1806	0.0967	0.4941	0.5908	0.7714	0.535437431	3.271317829	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	1	10	5.84	3.2775	0.4775	4.145	0.4325	0.0852	0.2530	0.3382	0.7707	0.19699422	0.781965318	0.14	91.9	0.42	0.07	0.04	0.482427782	0.516040956	1.05	0.218244804	0.525547445
crassifolia	2	2	1	5.92	3.255	0.4775	3.1625	0.2862	0.2052	0.5010	0.7062	0.9924	0.716981132	2.467505241	0.16	56.77	0.43	0.08	0.08	0.298013332	0.589761092	1.075	0.249422633	1.051094891
